Work Item ID,Tipo,Resumo,Sprint (Milestone),Status,Labels,URL (GitLab)
#1,historia,US-01 - Captura via engine EPROC/ESAJ (TJSP),Sprint 1,closed,fase::2; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/1
#2,historia,US-02 - Contornar captcha Cloudflare,Discovery,closed,fase::1; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/2
#3,historia,US-03 - Capturar 1a instancia (EPROC) e incidentes (ESAJ),Sprint 3,closed,fase::2; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/3
#4,historia,US-04 - DataJud/CNJ como fonte primaria,Sprint 6,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/4
#5,historia,US-05 - Token Bearer CNJ compartilhado,Sprint 8,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/5
#6,historia,US-06 - Registrar CodigoFonteAPI,Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/6
#7,historia,US-07 - Enviar dados ao webhook de indexacao,Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/7
#8,historia,US-08 - CapturaServer enfileira NUPs unificado,Sprint 2,closed,fase::2; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/8
#9,historia,US-09 - Ler fila unificada,Sprint 6,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/9
#10,historia,US-10 - Desligar NUP nas parceiras apos CNJ,Sprint 7,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/10
#11,historia,US-11 - Fallback para parceiras por prioridade,Sprint 8,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/11
#12,historia,US-12 - Tratar retornos das parceiras,Sprint 8,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/12
#13,historia,US-13 - Segredo de justica por instancia,Sprint 9,closed,fase::5; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/13
#14,historia,US-14 - Registrar erros por instancia,Sprint 8,closed,fase::4; frente::captura-CNJ; prioridade::alta; processo::REQ; repo::WorkerAndamentos; status::entregue; tipo::historia,http://191.234.192.153/aasp/cnj/-/work_items/14
