Issue Type,Summary,Description,Story Points,Sprint,Priority,Labels,Assignee,Epic Link,Parent,Fix Version,Status,Reporter
Epic,SensrJiraSync — Serviço de Sincronização Sensr → Jira,Desenvolvimento do serviço .NET 8 de migração automatizada de cards do Sensr para o Jira com sincronização incremental de status durante o período de transição entre as plataformas.,,,High,"sensr-jira-sync,mps-nivel-c,AASPGOV01",Abraão Oliveira,,,v1.0.0,Done,Abraão Oliveira
Story,"Definir arquitetura em 3 camadas: Core, Infrastructure, App","Estruturar solução com separação de contratos, implementação e ponto de entrada. Decisão D01.",5,Sprint 0 — Arquitetura,High,"AASPGOV01,mps-nivel-c",Cezar Hiraki,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Definir modelo de configuração AppSettings/DeveloperConfig/ProjectConfig,"Criar modelos de domínio para configuração de múltiplos desenvolvedores e projetos via appsettings.json. RF10, RNF05.",3,Sprint 0 — Arquitetura,High,"AASPGOV01,mps-nivel-c",Cezar Hiraki,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Provisionar acesso Azure DevOps e repositório SensrJiraSync,"Criar repositório, configurar GitFlow (main, develop, feature/*, bugfix/*), definir regras de PR.",2,Sprint 0 — Arquitetura,Medium,"AASPGOV01,mps-nivel-c",Cézar Hiraki,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Definir contratos de interface das camadas Core,"Especificar interfaces ISensrService, IJiraService, ISyncService como contratos da camada Core. RNF04.",5,Sprint 0 — Arquitetura,High,"AASPGOV01,mps-nivel-c",Cezar Hiraki,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,"Mapear endpoints API Sensr: login, getactivitiesbyprojectstatus, getsingleactivity, subactivity","Documentar contratos dos 4 endpoints Sensr consumidos, incluindo autenticação JWT e formato de resposta HTML. D02.",3,Sprint 1 — Mapeamento e Autenticação,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,"Mapear endpoints API Jira v3: search, create, transitions, comments","Documentar contratos dos endpoints Jira v3 com Basic Auth, ADF e paginação via nextPageToken. D04.",5,Sprint 1 — Mapeamento e Autenticação,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar SensrService — autenticação JWT por desenvolvedor,"Login individual por DeveloperConfig, gestão de token JWT por sessão. RF01, D02.",5,Sprint 1 — Mapeamento e Autenticação,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar StatusMapper — mapeamento TODO/DOING/VALIDATION/STOPPED/DONE,Mapear 5 status Sensr para equivalentes Jira. RF08.,2,Sprint 1 — Mapeamento e Autenticação,Medium,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar autenticação Jira Basic Auth (email + API Token),Configurar cliente HTTP com Basic Auth para API Jira v3. RF01.,3,Sprint 1 — Mapeamento e Autenticação,High,"AASPGOV01,mps-nivel-c",Allan Alves,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
Story,Implementar JiraService — GetOrCreateEpicAsync,Criar ou reutilizar Epic por nome de projeto. RF02.,3,Sprint 2 — Desenvolvimento dos Serviços,High,"AASPGOV01,mps-nivel-c",Henry,SensrJiraSync — Serviço de Sincronização Sensr → Jira,,v1.0.0,Done,Abraão Oliveira
